song_name,cleaned_artists,popularity
Privilege,The Weeknd,65
No Smoke,YoungBoy Never Broke Again,68
Tempo,Chris Brown,63
OKRA,"Tyler, The Creator",64
Échame La Culpa,"['Demi Lovato', 'Luis Fonsi']",71
Written in the Sand,Old Dominion,71
Beautiful Trauma,P!nk,67
Focus,H.E.R.,66
MotorSport,2017 Dynamo Hitz,0
GUMMO,6ix9ine,68
Betrayed,Lil Xan,73
44 More,Logic,72
Booty,Blac Youngsta,60
Rubbin off the Paint,YBN Nahmir,69
Young Dumb & Broke,Khalid,82
How Long,Charlie Puth,74
going down!,XXXTENTACION,67
Everybody Hates Me,The Chainsmokers,67
Sorry Not Sorry,Demi Lovato,79
Contra,Logic,61
Overnight,Logic,60
Midnight,Logic,63
Yuck,Logic,58
BoomTrap Protocol,Logic,58
Stranger Things,2018 DJ Grime,1
Paramedic!,SOB X RBE,67
Bodak Yellow (Money Moves),2017 Dynamo Hitz,17
Want You Back,5 Seconds of Summer,69
Yours,Russell Dickerson,70
You Broke Up with Me,Walker Hayes,65
KOODA,6ix9ine,65
Make Me Feel,Janelle Monáe,67
Rock,Plies,53
Shape of You,Ed Sheeran,84
Too Good At Goodbyes,Sam Smith,81
Gucci Gang,Lil Pump,73
Legends,Kelsea Ballerini,59
One Foot,WALK THE MOON,63
Female,Keith Urban,45
Filthy,Justin Timberlake,59
Black Panther,Kendrick Lamar,57
Rewrite The Stars,2018 Dynamo Hitz,9
Like I Loved You,Brett Young,66
Losing Sleep,Chris Young,66
Man of the Woods,Justin Timberlake,56
Diplomatic Immunity,Drake,56
Sick Boy,The Chainsmokers,73
A Girl Like You,Easton Corbin,61
Supplies,Justin Timberlake,54
Believer,Imagine Dragons,86
Supastars,Migos,57
Gang Gang,Migos,60
Higher We Go - Intro,Migos,53
Auto Pilot,Migos,51
Emoji A Chain,Migos,54
Round Here Buzz,Eric Church,62
Bank Account,21 Savage,78
Attention,Charlie Puth,80
Greatest Love Story,LANCO,72
NO NAME,NF,67
Ice Tray,"['Quavo', 'Lil Yachty', 'Quality Control']",67
Never Enough,Loren Allred,75
My Dawg,"['Lil Baby', 'Quavo', 'Quality Control', 'Kodak Black', 'Moneybagg Yo']",61
I'll Name the Dogs,Blake Shelton,62
The Weekend,SZA,73
